rank,contributorContentUsername,contributorContentFullname,category,followers,viewsAvg,likesAvg,commentsAvg,category_2,isPersonal
12,strictlydumpling,Strictly Dumpling,Food & Drinks,4.3M,158.3K,5.5K,199,Travel,T
13,alexojeda,Alex Ojeda,Travel,4.3M,12.3K,557,10,Travel,T
14,karaandnate,Kara and Nate,Travel,4.1M,481.5K,18K,1.2K,Travel,T
15,doobydobap,Doobydobap,Food & Drinks,4.1M,537.4K,38.3K,649,Travel,
16,enesyilmazer,Enes Yilmazer,Design/art,4M,147.8K,5.4K,374,Travel,T
17,karissaeats,KarissaEats,Food & Drinks,3.9M,1.3M,122.4K,330,Travel,
18,dellavlogs,DELLA VLOGS,Travel,3.9M,355.4K,19.2K,183,Travel,T
19,tocaa_mona,Sara & Hazem,Autos & Vehicles,3.9M,167K,26.7K,248,Travel,T
20,evantuberaw,The Tube Family,Travel,3.8M,64.9K,1.8K,119,Travel,T
21,samchui,Sam Chui,Travel,3.7M,467.7K,9.6K,697,Travel,T
22,paolofromtokyo,Paolo fromTOKYO,Food & Drinks,3.6M,108.2K,4.7K,238,Travel,T
23,geographynow,Geography Now,Travel,3.6M,190.5K,15.8K,489,Travel,T
24,jhousevlogs,J House Vlogs,Travel,3.4M,26.9K,576,116,Travel,T
25,androidauthority,Android Authority,Design/art,3.4M,4.2K,158,6,Travel,T
26,itsonyambu8769,itsonyambu,Travel,3.4M,314K,17.4K,918,Travel,
27,ebcctime,Taiwan Critical Time,Travel,3.3M,18.9K,192,26,Travel,T
28,watop_video,WATOP,Travel,3.2M,139.2K,4.5K,304,Travel,
29,abroadinjapan,Abroad in Japan,Travel,3.2M,786.6K,45K,1.9K,Travel,T
30,sasha-jay,International couple[Jay and Sasha],Travel,3.1M,42K,1.6K,102,Travel,T
31,morebesteverfoodreviewshow,More Best Ever Food Review Show,Food & Drinks,3M,1.2M,26.3K,1.8K,Travel,
32,ballingerfamily,Ballinger Family,Travel,3M,60.8K,1.1K,27,Travel,T
33,topfives,Top Fives,Travel,3M,13.5K,336,14,Travel,T
34,watcher,Watcher,Travel,2.9M,153.4K,9.6K,926,Travel,
35,livingbobby,LivingBobby,Travel,2.8M,639.6K,13.7K,492,Travel,
36,khoailangthang,Khoai Lang Thang / Food & Travel,Travel,2.8M,53.7K,1.8K,17,Travel,T
37,erikvanconover,Erik Van Conover,Design/art,2.8M,24.8K,1.6K,52,Travel,T
38,mav,Mav,Travel,2.6M,485K,12.4K,702,Travel,
39,itchyboots,Itchy Boots,Travel,2.6M,1M,105K,3.3K,Travel,T
40,jordentually,Jorden Tually,Travel,2.6M,261K,19.9K,180,Travel,T
41,mazelee,MAZELEE,Travel,2.5M,256.2K,12K,900,Travel,
42,colorman,Color Man,Food & Drinks,2.5M,17.4K,383,27,Travel,T
43,thealikoca,Ali Koca Stories,Travel,2.4M,54.6K,6.9K,161,Travel,T
44,oscaralejandr0,Oscar Alejandro,Travel,2.2M,329.1K,12K,796,Travel,T
45,justjordan33,JustJordan33,Travel,2.2M,19.2K,1.1K,100,Travel,
46,elliethumannn,Ellie Thumann,Travel,2.1M,24.2K,1K,63,Travel,T
47,ngoctrinhofficial9626,Ngọc Trinh Official,Travel,2.1M,4K,176,9,Travel,
48,jesssfam,JesssFam,Travel,2.1M,79K,2.9K,187,Travel,
49,jungernaut,Brian Jung,Travel,2.1M,333.7K,11.3K,492,Travel,T
50,eunjipyo,표은지Eunji Pyoapple,Travel,2M,23.2K,2.1K,91,Travel,T
1,mrbeast,MrBeast,Video games,366M,128.4M,4.5M,6.4K,Video games,T
2,stokestwins,Stokes Twins,Video games,115.1M,26.6M,295.6K,3.1K,Video games,T
3,topperguild,Topper Guild,Movies,58.7M,6M,103K,420,Video games,T
4,zhong,Zhong,Movies,52.6M,4.5M,84.4K,978,Video games,
5,lankybox,LankyBox,Animation,40.7M,243.1K,2.8K,404,Video games,
6,youtube,YouTube,Animation,38.4M,2.8M,29.3K,1.7K,Video games,
7,brentrivera,Brent Rivera,Animation,37.5M,913.7K,33.7K,172,Video games,T
8,markiplier,Markiplier,Movies,37.3M,1.8M,100.6K,3.4K,Video games,
9,talkingtom,Talking Tom,Animation,32.4M,110.8K,902,0,Video games,T
10,dream,Dream,Animation,32M,859.4K,62.5K,4.8K,Video games,T
11,alanbecker,Alan Becker,Animation,30M,819.6K,94.9K,1.4K,Video games,T
12,prestonyt,Preston,Animation,29.8M,768.3K,20.9K,230,Video games,
13,dantdm,DanTDM,Animation,29.2M,712.6K,44.3K,3.3K,Video games,
14,rug,FaZe Rug,Movies,27.4M,2.7M,60.2K,4.4K,Video games,T
15,vanossgaming,VanossGaming,Animation,25.9M,800.3K,35.6K,851,Video games,
16,jesser,Jesser,Video games,25.5M,1.3M,33.2K,229,Video games,
17,ssundee,SSundee,Animation,24.7M,994.4K,27.8K,1.5K,Video games,
18,fgteev,FGTeeV,Animation,24.3M,358.6K,8.2K,2.2K,Video games,
19,ninja,Ninja,Video games,23.9M,93.6K,2.3K,80,Video games,
20,jelly,Jelly,Animation,23.5M,102.4K,3.7K,228,Video games,
21,ninjakidz,Ninja Kidz TV,Movies,23.3M,30.2K,1.6K,58,Video games,
22,lazarbeam,LazarBeam,Animation,22.9M,563.9K,42K,349,Video games,
23,alia,Ali-A,Animation,19.5M,373.9K,12.9K,224,Video games,
24,minikatanastore,Mini Katana,Video games,19.1M,75K,3.6K,78,Video games,
25,unspeakable,Unspeakable,Animation,18.5M,912.9K,14.6K,1.3K,Video games,
26,merrickhanna,Merrick Hanna,Movies,17.4M,81K,3.7K,49,Video games,T
27,failarmy,FailArmy,Video games,17.4M,550.5K,8.9K,440,Video games,
28,xdschool,XDSchool,Animation,16.8M,31.3K,1.7K,7,Video games,
29,prestonplayz,PrestonPlayz,Animation,16.6M,537.8K,10.9K,814,Video games,
30,jtcasey,JT Casey,Video games,16.4M,108.9K,3.7K,32,Video games,T
31,jojosim,Jojo Sim,Video games,16.2M,101.6K,3.2K,13,Video games,T
32,woodyandkleiny,Woody & Kleiny,Video games,15.8M,59.1K,1.6K,27,Video games,T
33,typicalgamer,Typical Gamer,Animation,15.7M,189.3K,4.1K,259,Video games,T
34,hacksmith,Hacksmith Industries,Video games,15.4M,110.2K,6.1K,62,Video games,T
35,lachlan,Lachlan,Animation,15.3M,416.1K,10K,84,Video games,
36,tommyinnit,TommyInnit,Animation,15.2M,921.9K,106.4K,5.9K,Video games,
37,parotter,Parotter,Animation,15M,238.1K,12.7K,151,Video games,
38,reactiontime,Reaction Time,Video games,14.6M,7.7K,335,11,Video games,T
39,minecraft,Minecraft,Animation,14.4M,408.6K,34.4K,1.2K,Video games,
40,omarespn,Omar Raja - ESPN,Video games,14.4M,28.7K,1.5K,16,Video games,T
41,gregrenko,Greg Renko,Animation,14.2M,1.5M,65.2K,210,Video games,T
42,theradbrad,theRadBrad,Animation,13.8M,171.5K,6.4K,378,Video games,
43,coreytonge,Corey Tonge,Animation,13.4M,18.1K,560,10,Video games,T
44,uwucutesingle,uwucutesingle,Animation,13.4M,196.1K,8.5K,207,Video games,
45,vuxvux,VuxVux,Video games,13.4M,303.6K,21.2K,514,Video games,
46,flamingo,Flamingo,Animation,13.4M,1.5M,63K,5.6K,Video games,
47,joealbanese,Joe Albanese,Animation,12.6M,312.3K,14.7K,132,Video games,T
48,crazyrussianhacker,CrazyRussianHacker,Video games,12M,39.8K,2.2K,192,Video games,
49,maizenofficial,Maizen,Animation,12M,504.9K,6.3K,226,Video games,
50,ttfue,Tfue,Video games,11.8M,14.4K,480,23,Video games,
